,track_name,playlist_pos
0,Flyers,28
1,again,36
2,TOP -Japanese ver.-,47
3,右肩の蝶,126
4,Contradiction (feat. Tyler Carter),46
5,Adamas (Sword Art Online: Alicization),1
6,Eren Zahyo,94
7,SPECIALZ,130
8,Is There Still Anything That Love Can Do?,23
9,In the Back Room,107
10,ME!ME!ME! feat. daoko_pt.3,129
11,FLY HIGH!!,31
12,Wind,98
13,不可幸力,41
14,MUKANJYO,102
15,FightSong,117
16,innocent arrogance,120
17,SLUMP -Japanese ver.-,74
18,that's a dream come true,110
19,LilaS,133
20,第六感,84
21,life hack,40
22,夜に駆ける,49
23,Avid,88
24,天地ガエシ 『ハイキュー!!』EDバージョン,85
25,veil,75
26,想いきり,111
27,Sparkle - movie ver.,8
