,track_name,playlist_pos
0,Money Trees,436
1,Moonlight,77
2,Softcore,752
3,SLUGGER (feat. $NOT & slowthai),600
4,In The City,1118
5,Reckless,873
6,Moonshine,1128
7,Smile Boyo,753
8,Give A Little More,1045
9,Flashed Junk Mind,327
10,"Hold On, We're Going Home",445
11,Violet,878
12,Fashion,42
13,3 outfits,726
14,G.O.M.D.,211
15,Que' Onda Guero,12
16,Love Lockdown,85
17,City Song,955
18,Swoon,704
19,Honestly,627
20,She Knows (feat. Amber Coffman & Cults),963
21,I'm God,1078
22,Complicated,110
23,What If,669
24,A Love Song,664
25,In Cold Blood,175
26,Peach Lavender Girl,1025
27,Last Hurrah,244
28,I Feel Like I'm Drowning,240
29,Agnes,44
30,Cold Cold Man,286
31,September Song,60
32,High And Low,1036
33,On Melancholy Hill,612
34,Toxic,691
35,Going Bad (feat. Drake),372
36,Oh No,700
37,bellyache,276
38,White Lies - EP Version,1046
39,Daddy Issues,800
40,Gold,55
41,10 Bands,442
42,No Mans Land [prod. Bobby Ray],363
43,Keep Your Head Up,301
44,Let Go,889
45,Wittme,260
46,Where Would We Be,158
47,Dua Lipa,719
48,Trouble With You,628
49,Breakeven,634
50,Girls Like Me,131
51,Rawnald Gregory Erickson the Second,526
52,Paris,483
53,Ghost in the Machine,323
54,Open Your Eyes,754
55,I Still Need You,614
56,1901,761
57,Still Feelin' It,120
58,U&ME,979
59,Rollin' Stone,258
60,All You Had To Do Was Stay,105
61,Heavier,987
62,I Write Sins Not Tragedies,11
63,Sick Boy,403
64,Gimme More,558
65,We R Who We R,471
66,exclusive,751
67,Chrysalis,424
68,Sun,18
69,MICHUUL.,914
70,STARSTRUKK (feat. Katy Perry),533
71,warm blood,283
72,Look Alive (feat. Drake),102
73,Stolen Dance,15
74,Where Are Ü Now (with Justin Bieber),16
75,Revolver,684
76,more,709
77,Couch Potato,148
78,MIA - Robotaki Remix,797
79,Absolute Territory,1038
80,Only Us,281
81,Tokyo Drifting (with Denzel Curry),465
82,Can I Call You Tonight?,472
83,Drop The Game,56
84,Cocoon,178
85,Doodoodoo,604
86,Hard Times,422
87,"Stop, Drop, Roll",433
88,Me & U,482
89,Something Good,983
90,i'm so tired...,248
91,(Don't Fear) The Reaper,718
92,Sheesh!,725
93,Are You Gonna Be My Girl,165
94,Off She Goes,475
95,Bad Habits,311
96,You Seemed so Happy,1111
97,THE DEATH OF PEACE OF MIND,1089
98,Runaway,556
99,Lullaby,951
100,Real Life Sux,806
101,Get Away,280
102,Sunroof,653
103,Elastic Heart,49
104,Listen to the Music,547
105,Love Lies (with Normani),93
106,Space Ghost Coast To Coast,1101
107,BILLIE EILISH.,731
108,Sleeping In,899
109,02:00 AM,809
110,little more time,580
111,Boulevard of Broken Dreams,783
112,Sloppy Seconds,293
113,Shelter,629
114,Set My Baby Free,313
115,We Don't Have To Dance,643
116,The Bones - with Hozier,661
117,Someday,950
118,Bambi,241
119,hold on,202
120,Only In My Mind,1117
121,Echo,926
122,Girl,291
123,Undercover Martyn,853
124,greedy,1099
125,Just a Friend,674
126,La La Land (feat. YG),395
127,Fire Alarm,67
128,Ocean Man,317
129,NoLo,925
130,Buttercup,242
131,Let You Love Me,788
132,Little Secrets,929
133,Apologize,206
134,Burn,999
135,OUTTA MY MIND,1070
136,Wish,523
137,Migraine,1028
138,bluebonnets,652
139,No Option,62
140,Be Sweet,1044
141,Money On My Mind,741
142,Over & Over,879
143,Colour Morning,300
144,Fast Car,931
145,Anthony Kiedis,1043
146,Nikes On,890
147,Saturday Night’s Alright (For Fighting) - Remastered 2014,1063
148,Cosmic Love,27
149,Congratulations,865
150,Float On,319
151,She Wolf,73
152,Opposite of Adults,516
153,sheluvme,739
154,Falls,349
155,Praying,268
156,Karma,795
157,Midnight City,24
158,Say My Name,1087
159,Blame (feat. John Newman),581
160,Shuffle,671
161,Island In The Sun,369
162,Help Our Souls - Remix Radio Edit,913
163,Young Dumb & Broke,107
164,King / Ghost In A Song,1134
165,Use Somebody,576
166,lmho,494
167,Phone Numbers,819
