,track_name,playlist_pos
0,Moonshine,1128
1,Untouched,1129
2,greedy,1099
3,Space Ghost Coast To Coast,1101
4,Breakeven,634
5,Only In My Mind,1117
6,Meteor,1133
7,Uprising,1103
8,Something Has to Change,1112
9,Supermassive Black Hole,1138
10,Arms Tonite,1090
11,RUNRUNRUN,1119
12,ABC (feat. Sophia Black),1102
13,Mountains,1130
14,The Fall,197
15,I Never Liked Your Friends,1092
16,No Angels,1124
17,Bury Us,1107
18,The Love You Want,1142
19,Infinitesimal,1042
20,It's Been Awhile,1053
21,Bouncin (feat. Offset),1100
22,Be Sweet,1044
23,We Move Like The Ocean,1049
24,PARANOIA,1146
25,Dial Drunk (with Post Malone),1076
26,Waste,1048
27,Give A Little More,1045
28,Let It Happen,1015
29,You're Beautiful,1050
30,Risk,1021
31,Peach Lavender Girl,1025
32,Second Chance,96
33,Jump Rope Gazers,1023
34,Counting Blue Cars (Tell Me Your Thoughts On God),1001
35,Pink Light,1002
36,Rearview,989
37,Time Machine,1010
38,Withdrawal,975
39,Maybe You're the Reason,1006
40,Saturday Night’s Alright (For Fighting) - Remastered 2014,1063
41,Lose It,1003
42,Changing of the Seasons,961
43,Burn,999
44,DONTTRUSTME,1066
45,Bootleggin',960
46,What If I'm Hurt Again,1072
